journal	IF2023	quartile2023
19TH CENTURY MUSIC	0.3	NA
20 CENTURY BR HIST	1.1	Q1
2D MATER	4.5	Q2
3 BIOTECH	2.6	Q3
3D PRINT ADDIT MANUF	2.3	Q3
3D PRINT MED	3.2	Q1
A A PRACT	0.5	Q4
AACN ADV CRIT CARE	2	Q2
AAPS J	5	Q1
AAPS PHARMSCITECH	3.4	Q2
ABDOM RADIOL (NY)	2.3	Q2
ABIOTECH	4.6	Q1
ABORIG HIST	0.4	Q1
ACAD EMERG MED	3.4	Q1
ACAD MANAG ANN	14.3	Q1
ACAD MANAG PERSPECT	7.2	Q1
ACAD MANAGE J	9.5	Q1
ACAD MANAGE REV	19.3	Q1
ACAD MED	5.3	Q1
ACAD PATHOL	1.2	Q3
ACAD PEDIATR	3	Q1
ACAD PSYCHIATRY	2.2	Q3
ACAD RADIOL	3.8	Q1
ACADIENSIS	0.1	Q3
ACAROLOGIA	0.9	Q3
ACC CHEM RES	16.4	Q1
ACC MATER RES	14	Q1
ACCID ANAL PREV	5.7	Q1
ACCOUNT HIST	1.7	Q3
ACCOUNT HIST J	1.2	Q3
ACCOUNT RES	2.8	Q1
ACCREDIT QUAL ASSUR	0.8	Q4
ACG CASE REP J	0.6	Q4
ACI MATER J	1.9	Q3
ACI STRUCT J	1.3	Q4
ACM COMPUT SURV	23.8	Q1
ACM J DATA INF QUAL	1.5	Q3
ACM J EMERG TECHNOL COMPUT SYST	2.1	Q3
ACM SIGAPP APPL COMPUT REV	0.4	Q4
ACM TRANS ACCESS COMPUT	2.5	Q3
ACM TRANS APPL PERCEPT	1.9	Q3
ACM TRANS COMPUT HUM INTERACT	4.8	Q1
ACM TRANS EMBED COMPUT SYST	2.8	Q2
ACM TRANS HUM ROBOT INTERACT	4.2	Q2
ACM TRANS INF SYST	5.4	Q1
ACM TRANS INTELL SYST TECHNOL	7.2	Q1
ACM TRANS INTERACT INTELL SYST	3.6	Q2
ACM TRANS INTERNET TECHNOL	3.9	Q1
ACM TRANS KNOWL DISCOV DATA	4	Q1
ACM TRANS MANAG INF SYST	2.5	Q2
ACM TRANS MATH SOFTW	2.7	Q1
ACM TRANS MODEL COMPUT SIMUL	0.7	Q3
ACM TRANS RECONFIGURABLE TECHNOL SYST	3.1	Q2
ACM TRANS SENS NETW	3.9	Q2
ACM TRANS SPAT ALGORITHMS SYST	1.2	Q4
ACM TRANSACT DES AUTOM ELECTRON SYST	2.2	Q2
ACOUST AUST	1.9	Q2
ACOUST PHYS	0.9	Q4
ACOUST SCI TECHNOL	0.6	Q4
ACOUSTICS (BASEL)	1.3	Q3
ACR OPEN RHEUMATOL	2.9	Q2
ACS AGRIC SCI TECHNOL	2.3	Q2
ACS APPL BIO MATER	4.6	Q2
ACS APPL ELECTRON MATER	4.3	Q2
ACS APPL ENERGY MATER	5.4	Q2
ACS APPL MATER INTERFACES	8.3	Q1
ACS APPL NANO MATER	5.3	Q2
ACS APPL POLYM MATER	4.4	Q1
ACS BIO MED CHEM AU	3.8	Q2
ACS BIOMATER SCI ENG	5.4	Q2
ACS CATAL	11.3	Q1
ACS CENT SCI	12.7	Q1
ACS CHEM BIOL	3.5	Q2
ACS CHEM NEUROSCI	4.1	Q2
ACS EARTH SPACE CHEM	2.9	Q2
ACS ENERGY LETT	19.3	Q1
ACS ENG AU	4.3	Q2
ACS ENVIRON AU	6.7	Q1
ACS ES T ENG	7.4	Q1
ACS ES T WATER	4.8	Q1
ACS FOOD SCI TECHNOL	2.6	Q2
ACS INFECT DIS	4	Q1
ACS MACRO LETT	5.1	Q1
ACS MATER AU	5.7	Q2
ACS MATER LETT	9.6	Q1
ACS MEAS SCI AU	4.6	Q1
ACS MED CHEM LETT	3.5	Q2
ACS NANO	15.8	Q1
ACS NANOSCI AU	4.8	Q2
ACS OMEGA	3.7	Q2
ACS ORG INORG AU	3.3	Q2
ACS PHARMACOL TRANSL SCI	4.9	Q1
ACS PHOTONICS	6.5	Q1
ACS PHYS CHEM AU	3.7	Q2
ACS POLYM AU	4.7	Q1
ACS SENS	8.2	Q1
ACS SUSTAIN CHEM ENG	7.1	Q1
ACS SYNTH BIOL	3.7	Q1
ACSMS HEALTH FIT J	1.6	Q3
ACTA ACUST (2020)	1	Q4
ACTA AGRIC SCAND A ANIM SCI	0.8	Q3
ACTA AMAZON	0.7	Q4
ACTA ANAESTHESIOL BELG	0.1	Q4
ACTA ANAESTHESIOL SCAND	1.9	Q2
ACTA ANAL	0.3	NA
ACTA APPL MATH	1.2	Q2
ACTA ASTRONAUT	3.1	Q1
ACTA BIOCHIM BIOPHYS SIN (SHANGHAI)	3.3	Q1
ACTA BIOCHIM POL	1.4	Q4
ACTA BIOENG BIOMECH	0.8	Q4
ACTA BIOETH	0.5	Q4
ACTA BIOMATER	9.4	Q1
ACTA BIOTHEOR	1.4	Q4
ACTA BOT CROAT	1.1	Q3
ACTA BOT GALL	1.5	Q3
ACTA CARDIOL	2.1	Q3
ACTA CARDIOL SIN	1.8	Q3
ACTA CARSOLOGICA	1	Q4
ACTA CHIM SLOV	1.2	Q3
ACTA CHIR BELG	0.6	Q4
ACTA CHIR ORTHOP TRAUMATOL CECH	0.4	Q4
ACTA CHROMATOGR	1.7	Q3
ACTA CIR BRAS	1.1	Q3
ACTA CL	0.1	NA
ACTA CLIN BELG	1.1	Q2
ACTA CLIN CROAT	0.7	Q3
ACTA COLOMB PSICOL	0.7	Q4
ACTA CRYSTALLOGR A FOUND ADV	1.9	Q2
ACTA CRYSTALLOGR B STRUCT SCI CRYST ENG MATER	1.3	Q3
ACTA CRYSTALLOGR C STRUCT CHEM	0.7	Q3
ACTA CRYSTALLOGR D STRUCT BIOL	2.6	Q1
ACTA CRYSTALLOGR E CRYSTALLOGR COMMUN	0.5	Q4
ACTA CRYSTALLOGR F STRUCT BIOL COMMUN	1.1	Q3
ACTA CYTOL	1.6	Q3
ACTA DERM VENEREOL	3.5	Q1
ACTA DERMATOVENEROL ALP PANNONICA ADRIAT	0.6	Q4
ACTA DERMATOVENEROL CROAT	0.6	Q4
ACTA DIABETOL	3.1	Q2
ACTA ENDOCRINOL (BUCHAR)	0.7	Q4
ACTA ETHOL	1.1	Q3
ACTA GASTROENTEROL BELG	1.3	Q4
ACTA GEOCHIMICA	1.4	Q3
ACTA GEOTECH	5.6	Q1
ACTA HAEMATOL	1.7	Q3
ACTA HISTOCHEM	2.3	Q4
ACTA HISTOCHEM CYTOCHEM	1.6	Q4
ACTA INFORM	0.4	Q4
ACTA MATER	8.3	Q1
ACTA MATH APPL SIN	0.9	Q3
ACTA MATH SCI	1.2	Q1
ACTA MATH SIN ENGL SER	0.8	Q3
ACTA MECH	2.3	Q2
ACTA MECH SIN	3.8	Q1
ACTA MECH SOLIDA SIN	2	Q3
ACTA MED HIST ADRIAT	0.2	Q4
ACTA MED INDONES	0.7	Q3
ACTA MED OKAYAMA	0.6	Q4
ACTA MED PORT	0.8	Q3
ACTA MICROBIOL IMMUNOL HUNG	1.3	Q4
ACTA NATURAE	2	Q4
ACTA NEUROBIOL EXP (WARS)	1.4	Q4
ACTA NEUROCHIR (WIEN)	1.9	Q2
ACTA NEUROL BELG	2	Q3
ACTA NEUROL SCAND	2.9	Q2
ACTA NEUROPATHOL	9.3	Q1
ACTA NEUROPATHOL COMMUN	6.2	Q1
ACTA NEUROPSYCHIATR	2.6	Q2
ACTA NEUROPSYCHOL	1	Q4
ACTA OBSTET GYNECOL SCAND	3.5	Q1
ACTA ODONTOL SCAND	1.4	Q3
ACTA OECOL (MONTROUGE)	1.3	Q3
ACTA ONCOL	2.7	Q3
ACTA OPHTHALMOL	3	Q1
ACTA ORTHOP	2.5	Q1
ACTA ORTHOP BELG	0.5	Q4
