abb	pubmed_journal	pubmed_issn	pubmed_eissn	Publisher	journal_if	IF_2020	IF_2021	IF_2022	IF_2023	IF_2024	q_2020	q_2021	q_2022	q_2023	q_2024
ACAROLOGIA	Acarologia	0044-586X		ACAROLOGIA-UNIVERSITE PAUL VALERY	ACAROLOGIA	1.242	1.475	1.1	0.9	1.1	Q3	Q3	Q3	Q3	Q3
ACTA ANAESTHESIOL BELG	Acta anaesthesiologica Belgica	0001-5164	2736-5239	ACTA MEDICAL BELGICA	ACTA ANAESTHESIOLOGICA BELGICA				0.1	0.3				Q4	Q4
ACTA ANAESTHESIOL SCAND	Acta anaesthesiologica Scandinavica	0001-5172	1399-6576	WILEY	ACTA ANAESTHESIOLOGICA SCANDINAVICA	2.105	2.274	2.1	1.9	2.0	Q4	Q4	Q4	Q2	Q2
ACTA BIOCHIM POL	Acta biochimica Polonica	0001-527X	1734-154X	FRONTIERS MEDIA SA	ACTA BIOCHIMICA POLONICA	2.149	2.349	1.7	1.4	1.7	Q4	Q4	Q4	Q4	Q4
ACAD MANAGE REV	Academy of management review. Academy of Management	0363-7425	1930-3807	ACAD MANAGEMENT	ACADEMY OF MANAGEMENT REVIEW	12.638	13.865	16.4	19.3	13.9	Q1	Q1	Q1	Q1	Q1
ACAD MANAGE J	Academy of Management journal. Academy of Management	0001-4273	1948-0989	ACAD MANAGEMENT	ACADEMY OF MANAGEMENT JOURNAL	10.194	10.979	10.5	9.5	10.5	Q1	Q1	Q1	Q1	Q1
ACTA BIOTHEOR	Acta biotheoretica	0001-5342	1572-8358	SPRINGER	ACTA BIOTHEORETICA	1.774	1.185	1.3	1.4	1.5	Q3	Q4	Q4	Q4	Q4
ACTA CARDIOL	Acta cardiologica	0001-5385	1784-973X	TAYLOR & FRANCIS LTD	ACTA CARDIOLOGICA	1.718	1.738	1.6	2.1	2.5	Q4	Q4	Q4	Q3	Q2
ACTA CHIR BELG	Acta chirurgica Belgica	0001-5458			ACTA CHIRURGICA BELGICA	1.105	0.99	0.8	0.6	0.8	Q4	Q4	Q4	Q4	Q3
ACTA CHIR ORTHOP TRAUMATOL CECH	Acta chirurgiae orthopaedicae et traumatologiae Cechoslovaca	0001-5415		GALEN SRO	ACTA CHIRURGIAE ORTHOPAEDICAE ET TRAUMATOLOGIAE CECHOSLOVACA	0.531	0.222	0.4	0.4	0.4	Q4	Q4	Q4	Q4	Q4
ACTA CLIN BELG	Acta clinica Belgica	1784-3286	2295-3337		ACTA CLINICA BELGICA	1.264	1.682	1.6	1.1	0.9	Q3	Q3	Q3	Q2	Q3
ACTA CYTOL	Acta cytologica	0001-5547	1938-2650	KARGER	ACTA CYTOLOGICA	2.319	3.0	1.8	1.6	1.7	Q3	Q3	Q3	Q3	Q3
ACTA DERM VENEREOL	Acta dermato-venereologica	0001-5555	1651-2057	ACTA DERMATO-VENEREOLOGICA	ACTA DERMATO-VENEREOLOGICA	4.437	3.875	3.6	3.5	3.7	Q1	Q2	Q1	Q1	Q1
ACTA GASTROENTEROL BELG	Acta gastro-enterologica Belgica	1784-3227		UNIV CATHOLIQUE LOUVAIN-UCL	ACTA GASTRO-ENTEROLOGICA BELGICA	1.316	1.692	1.5	1.3	1.2	Q4	Q4	Q4	Q4	Q4
ACTA HAEMATOL	Acta haematologica	0001-5792	1421-9662	KARGER	ACTA HAEMATOLOGICA	2.195	3.068	2.4	1.7	1.1	Q4	Q3	Q3	Q3	Q4
ACTA HISTOCHEM	Acta histochemica	0065-1281	1618-0372	ELSEVIER GMBH	ACTA HISTOCHEMICA	2.479	2.147	2.5	2.3	2.4	Q4	Q4	Q4	Q4	Q4
GYNECOL ENDOCRINOL	Gynecological endocrinology : the official journal of the International Society of Gynecological Endocrinology	0951-3590	1473-0766	TAYLOR & FRANCIS LTD	GYNECOLOGICAL ENDOCRINOLOGY	2.26	2.277	2.0	2.0	1.7	Q3	Q3	Q3	Q2	Q3
